# PIN-CONSISTENCY BACKLOG -- a to-do list of known-wrong identities.
# Written by tools/pin_consistency.py; read by the full gate (tools/build.py).
# Generated file: do not reformat it, and see tools/pin_consistency.py for the
# full argument. THE GOAL IS AN EMPTY FILE.
#
# WHAT EACH LINE MEANS
# --------------------
# reverse/symbols.csv is an ADDITIVE candidate list: build.py's REL32 resolver
# walks a name's addresses and keeps the first displacement that reproduces
# retail. Give one name enough addresses and something matches, so a green gate
# proves the caller's BYTES and says nothing about WHICH function the callee is.
# Every line here is one name whose pinned addresses follow their thunk chains
# to bodies that are NOT the same function. At most one of them is that name.
# The rest are somebody else's function wearing its label, and each one is a
# misidentification waiting to be written up as an exact match -- which is
# exactly how the ControlBar and GameWindow families got 16 rows placed one body
# early before anyone noticed.
#
# WHY THEY ARE STILL HERE
# -----------------------
# Not because they are acceptable. The guard landed against a pre-existing
# backlog, and failing the gate on all of it would have blocked every agent
# from every unrelated commit. So the backlog is recorded WITH its evidence and
# the gate fails on anything NEW. A line here is a debt, never a permission slip.
#
# HOW TO RESOLVE ONE (this is the work; each line is a self-contained task)
# ------------------------------------------------------------------------
#   1. python3 tools/pin_consistency.py --symbol <name>
#        prints every pin, its thunk chain, each body's proven extent, and which
#        functions.csv rows already claim those bodies.
#   2. Decide WHICH body is the name. Evidence that settles it, strongest first:
#        a byte-verified functions.csv row naming this symbol at that body;
#        a ghidra xref/vtable slot; a decoded store offset (the GameWindow family
#        fell out of `lea eax,[eax+eax*2+d]` alone). Decompiled C is not proof.
#   3. Delete the losing pin rows from reverse/symbols.csv -- splice in place,
#        every surviving line byte-identical, terminators unchanged (uniform
#        CRLF), and verify the census before/after. Deleting is a rewrite.
#   4. Delete this line, in the SAME commit. A fixed symbol leaves a stale line
#        that fails too, on purpose: the fix and the removal are one change.
#   5. Run the FULL ./build.sh. Not the scoped one -- see the warning below.
#
# THE TRAP THAT CAUGHT THE LAST TWO SESSIONS
# ------------------------------------------
# A BYTE-VERIFIED CALLER OUTRANKS A BYTE-VERIFIED IDENTITY ROW. A session landed
# all 47 --clear-cut verdicts and the gate turned 111 byte-matched rows RED; 110
# of them resolved to a pin it had just deleted -- retail callers reaching the
# very body the ledger says belongs to somebody else. Only 21 of 47 survived.
# --clear-cut is a CANDIDATE list, not a verdict list: it reads the ledger and
# the image, never the object relocations that say which symbol a call site
# means, so it cannot see this coming. Screening out pins retail calls does NOT
# fix it -- that was measured, and it suppresses 36 of the 39 pins that landed
# clean. Confirm every retraction with a full ./build.sh; expect half to fail.
# When the ledger row and the call site disagree, the row moves first.
#
# THIS FILE IS ONLY ALLOWED TO SHRINK
# -----------------------------------
# Adding a line to make a build green is the exact anti-pattern this guard
# exists to stop -- fix the pin instead. Enforced, not merely requested:
# --write-baseline refuses to emit a key the file does not already carry, and
# `--assert-shrink-only` (run by .githooks/pre-commit) fails on any key added
# vs HEAD, so a hand-edited line is caught too. If you believe a line must be
# added, you have found a NEW misidentification: fix it.
#
# KEY AND COLUMNS
# ---------------
# key = symbol + its sorted body RVAs. A new address on a baselined symbol
# changes the key and FAILS, so a baselined line cannot quietly absorb one more
# bad pin.
#
# kinds:
#   divergent-bodies  same extent, bytes are not the same function even after
#                     rel32 rebasing -- at most one pin names this symbol
#   size-disagreement the pinned bodies have different proven extents. 307 of
#                     these are matched-vs-matched: two byte-verified bodies of
#                     different proven lengths cannot be one function.
#   no-boundary       a pinned body has no proven extent, so nothing can verify it
#   non-text-pin      a pin resolves outside .text and cannot be a code body
#
# evidence: <kind detail> :: <body><-<pins> owned-by:<other functions.csv names>
#           INTERIOR-OF:<fn>+0x<n> means the pin is not even an entry point --
#           it points inside a byte-verified body, so it cannot be any function.
#
# NOT COVERED HERE: single-pinned names, and the functions.csv half of the
# resolver's candidate list. `--candidates` reports the second (114 more).
symbol,bodies,kind,evidence
??$_M_allocate_and_copy@PBUParticleSysBoneInfo@@@?$vector@UParticleSysBoneInfo@@V?$allocator@UParticleSysBoneInfo@@@_STL@@@_STL@@IAEPAUParticleSysBoneInfo@@IPBU2@0@Z,0x000A7E00 0x000B06B0 0x003B4C80,divergent-bodies,size=94; first divergence at +0x47; class0=0x000A7E00 | class1=0x000B06B0 | class2=0x003B4C80 :: 0x000A7E00<-0x000286AA owned-by:?d_000a7e00@@YAXXZ ; 0x000B06B0<-0x00033FB9 owned-by:?d_000b06b0@@YAXXZ ; 0x003B4C80<-0x00030D69 owned-by:?d_003b4c80@@YAXXZ
??$_M_find@V?$BitFlags@$0L@@@@?$_Rb_tree@$$CBV?$BitFlags@$0L@@@U?$pair@$$CBV?$BitFlags@$0L@@@PBVArmorTemplateSet@@@_STL@@U?$_Select1st@U?$pair@$$CBV?$BitFlags@$0L@@@PBVArmorTemplateSet@@@_STL@@@3@UMapHelper@?$SparseMatchFinder@VArmorTemplateSet@@V?$BitFlags@$0L@@@@@V?$allocator@U?$pair@$$CBV?$BitFlags@$0L@@@PBVArmorTemplateSet@@@_STL@@@3@@_STL@@ABEPAU?$_Rb_tree_node@U?$pair@$$CBV?$BitFlags@$0L@@@PBVArmorTemplateSet@@@_STL@@@1@ABV?$BitFlags@$0L@@@@Z,0x00141220 0x001412A0,divergent-bodies,size=96; first divergence at +0x1F; class0=0x00141220 | class1=0x001412A0 :: 0x00141220<-0x00042D1B owned-by:?d_00141220@@YAXXZ ; 0x001412A0<-0x0000AE20 owned-by:?d_001412a0@@YAXXZ
??$__uninitialized_copy@PBUParticleSysBoneInfo@@PAU1@@_STL@@YAPAUParticleSysBoneInfo@@PBU1@0PAU1@ABU__false_type@0@@Z,0x000A7AA0 0x000B0490 0x003AA480,divergent-bodies,size=45; first divergence at +0x16; class0=0x000A7AA0 | class1=0x000B0490 | class2=0x003AA480 :: 0x000A7AA0<-0x0002AF86 owned-by:?d_000a7aa0@@YAXXZ ; 0x000B0490<-0x0002F0E5 owned-by:?d_000b0490@@YAXXZ ; 0x003AA480<-0x000032A6 owned-by:?d_003aa480@@YAXXZ
??$swap@V?$_STLP_alloc_proxy@PAPAXPAXV?$allocator@PAX@_STL@@@_STL@@@_STL@@YAXAAV?$_STLP_alloc_proxy@PAPAXPAXV?$allocator@PAX@_STL@@@0@0@Z,0x00069970 0x000DDF70 0x000DE040 0x001935D0 0x00193600,divergent-bodies,size=31; first divergence at +0xB; class0=0x00069970 | class1=0x000DDF70 | class2=0x000DE040 | class3=0x001935D0 | class4=0x00193600 :: 0x00069970<-0x00069970 owned-by:??$swap@V?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_00069970_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_00069970_p12cd@@@_STL@@@2@@_STL@@@_STL@@YAXAAV?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_00069970_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_00069970_p12cd@@@_STL@@@2@@0@0@Z ; 0x000DDF70<-0x000DDF70 owned-by:Gen_hashraw_000ddf70 ; 0x000DE040<-0x000DE040 owned-by:??$swap@V?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_000de040_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_000de040_p12cd@@@_STL@@@2@@_STL@@@_STL@@YAXAAV?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_000de040_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_000de040_p12cd@@@_STL@@@2@@0@0@Z ; 0x001935D0<-0x001935D0 owned-by:??$swap@V?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_001935d0_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_001935d0_p12cd@@@_STL@@@2@@_STL@@@_STL@@YAXAAV?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_001935d0_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_001935d0_p12cd@@@_STL@@@2@@0@0@Z ; 0x00193600<-0x00193600 owned-by:Gen_hashraw_00193600
??$swap@V?$_STLP_alloc_proxy@PAU?$_Rb_tree_node@U?$pair@$$CBGE@_STL@@@_STL@@U12@V?$allocator@U?$_Rb_tree_node@U?$pair@$$CBGE@_STL@@@_STL@@@2@@_STL@@@_STL@@YAXAAV?$_STLP_alloc_proxy@PAU?$_Rb_tree_node@U?$pair@$$CBGE@_STL@@@_STL@@U12@V?$allocator@U?$_Rb_tree_node@U?$pair@$$CBGE@_STL@@@_STL@@@2@@0@0@Z,0x000BEEF0 0x00193630,divergent-bodies,size=31; first divergence at +0xB; class0=0x000BEEF0 | class1=0x00193630 :: 0x000BEEF0<-0x00028056 owned-by:Gen_hashraw_000beef0 ; 0x00193630<-0x00013BB0 owned-by:??$swap@V?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_00193630_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_00193630_p12cd@@@_STL@@@2@@_STL@@@_STL@@YAXAAV?$_STLP_alloc_proxy@PAU?$_List_node@UGen_t_00193630_p12cd@@@_STL@@U12@V?$allocator@U?$_List_node@UGen_t_00193630_p12cd@@@_STL@@@2@@0@0@Z
??0?$_Vector_base@PAVObject@@V?$allocator@PAVObject@@@_STL@@@_STL@@QAE@IABV?$allocator@PAVObject@@@1@@Z,0x00135180 0x00135270 0x001D6A70 0x001F9330 0x003620E0 0x0039D3F0,divergent-bodies,size=130; first divergence at +0x1F; class0=0x00135180 | class1=0x00135270 | class2=0x001D6A70 | class3=0x001F9330 | class4=0x003620E0 | class5=0x0039D3F0 :: 0x00135180<-0x00001DA7 owned-by:??0?$_Vector_base@UGen_t_00135180_p4cd@@V?$allocator@UGen_t_00135180_p4cd@@@_STL@@@_STL@@QAE@IABV?$allocator@UGen_t_00135180_p4cd@@@1@@Z ; 0x00135270<-0x00020EA0 owned-by:??0?$_Vector_base@UGen_t_00135270_p4cd@@V?$allocator@UGen_t_00135270_p4cd@@@_STL@@@_STL@@QAE@IABV?$allocator@UGen_t_00135270_p4cd@@@1@@Z ; 0x001D6A70<-0x0003F418 owned-by:??0?$_Vector_base@UGen_t_001d6a70_p4cd@@V?$allocator@UGen_t_001d6a70_p4cd@@@_STL@@@_STL@@QAE@IABV?$allocator@UGen_t_001d6a70_p4cd@@@1@@Z ; 0x001F9330<-0x000212D3 owned-by:??0?$_Vector_base@UGen_t_001f9330_p4cd@@V?$allocator@UGen_t_001f9330_p4cd@@@_STL@@@_STL@@QAE@IABV?$allocator@UGen_t_001f9330_p4cd@@@1@@Z ; 0x003620E0<-0x0004485F owned-by:??0?$_Vector_base@UGen_t_003620e0_p4cd@@V?$allocator@UGen_t_003620e0_p4cd@@@_STL@@@_STL@@QAE@IABV?$allocator@UGen_t_003620e0_p4cd@@@1@@Z ; 0x0039D3F0<-0x0002D178 owned-by:??0?$_Vector_base@UGen_t_0039d3f0_p4cd@@V?$allocator@UGen_t_0039d3f0_p4cd@@@_STL@@@_STL@@QAE@IABV?$allocator@UGen_t_0039d3f0_p4cd@@@1@@Z
??0AIMoveToState@@QAE@PAVStateMachine@@@Z,0x0005D880 0x005BF130 0x005BF380 0x005BF5D0 0x005BF820 0x005BFA90,divergent-bodies,size=25; first divergence at +0x5; class0=0x0005D880 | class1=0x005BF130 | class2=0x005BF380 | class3=0x005BF5D0 | class4=0x005BF820 | class5=0x005BFA90 :: 0x0005D880<-0x0003FB61 owned-by:??0?$CategoryModuleTemplateBase@$0A@@FXParticleSystem@@QAE@ABV01@@Z ; 0x005BF130<-0x00046DE9 owned-by:??0?$CategoryModuleTemplateBase@$00@FXParticleSystem@@QAE@ABV01@@Z ; 0x005BF380<-0x000192A4 owned-by:??0?$CategoryModuleTemplateBase@$01@FXParticleSystem@@QAE@ABV01@@Z ; 0x005BF5D0<-0x0000C6E9 owned-by:??0?$CategoryModuleTemplateBase@$02@FXParticleSystem@@QAE@ABV01@@Z ; 0x005BF820<-0x0002AA4A owned-by:??0?$CategoryModuleTemplateBase@$03@FXParticleSystem@@QAE@ABV01@@Z ; 0x005BFA90<-0x0001D8AE owned-by:??0?$CategoryModuleTemplateBase@$04@FXParticleSystem@@QAE@ABV01@@Z
??0ArchivedDirectoryInfo@@QAE@ABV0@@Z,0x009CA8F0 0x009D0DB0,divergent-bodies,size=98; first divergence at +0x3; class0=0x009CA8F0 | class1=0x009D0DB0 :: 0x009CA8F0<-0x009CA8F0 owned-by:unclaimed ; 0x009D0DB0<-0x009D0DB0 owned-by:??0DetailedArchivedDirectoryInfo@@QAE@ABV0@@Z
??0BaseRegenerateUpdateModuleData@@QAE@XZ,0x00216790 0x00216B90 0x0028BBF0 0x0028C2A0,divergent-bodies,size=9; first divergence at +0x4; class0=0x00216790 | class1=0x00216B90 | class2=0x0028BBF0 | class3=0x0028C2A0 :: 0x00216790<-0x000317C8 owned-by:?d_00216790@@YAXXZ ; 0x00216B90<-0x00045737 owned-by:??0SquishCollideModuleData@@QAE@XZ ; 0x0028BBF0<-0x00014E20 owned-by:??0DelayedLuaEventUpdateModuleData@@QAE@XZ ; 0x0028C2A0<-0x0001066D owned-by:unclaimed
??0ConvertToCarBombCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,0x0024F560 0x0024F860 0x0024FC20 0x0024FE70 0x00250260 0x00250460,divergent-bodies,"size=46; first divergence at +0x16; class0=0x0024F560 | class1=0x0024F860 | class2=0x0024FC20 | class3=0x0024FE70 | class4=0x00250260 | class5=0x00250460 :: 0x0024F560<-0x0001F5C3 owned-by:??0ExperienceLevelCreate@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x0024F860<-0x0001D3AE owned-by:?d_0024f860@@YAXXZ ; 0x0024FC20<-0x0002DED4 owned-by:??0BeaconClientUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,??0BoneFXDamage@@QAE@PAVThing@@PBVModuleData@@@Z,??0ConvertToHijackedVehicleCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0DamDie@@QAE@PAVThing@@PBVModuleData@@@Z,??0EjectPilotDie@@QAE@PAVThing@@PBVModuleData@@@Z,??0RebuildHoleExposeDie@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotageCommandCenterCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotageFakeBuildingCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotageInternetCenterCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotageMilitaryFactoryCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotagePowerPlantCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotageSuperweaponCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotageSupplyCenterCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SabotageSupplyDropzoneCrateCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0SquishCollide@@QAE@PAVThing@@PBVModuleData@@@Z,??0W3DDefaultDraw@@QAE@PAVThing@@PBVModuleData@@@Z ; 0x0024FE70<-0x0002070C owned-by:?d_0024fe70@@YAXXZ ; 0x00250260<-0x0003CF56 owned-by:?d_00250260@@YAXXZ ; 0x00250460<-0x0003ECA7 owned-by:?d_00250460@@YAXXZ"
